time,open,high,low,close,tick_volume,spread,real_volume
2025-10-17 14:15:00,1.16871,1.16881,1.16836,1.16873,531,18,0
2025-10-17 14:20:00,1.16869,1.1688,1.16841,1.1687,411,18,0
2025-10-17 14:25:00,1.1687,1.16875,1.16842,1.16844,256,18,0
2025-10-17 14:30:00,1.16845,1.16875,1.16841,1.16858,320,18,0
2025-10-17 14:35:00,1.16858,1.1687400000000001,1.16841,1.16843,272,18,0
2025-10-17 14:40:00,1.16844,1.16863,1.16841,1.16854,214,18,0
2025-10-17 14:45:00,1.16855,1.16883,1.16838,1.16849,225,18,0
2025-10-17 14:50:00,1.16848,1.16897,1.16839,1.16882,268,18,0
2025-10-17 14:55:00,1.16883,1.16889,1.16793,1.16842,402,18,0
2025-10-17 15:00:00,1.16845,1.16854,1.16806,1.1681300000000001,438,18,0
2025-10-17 15:05:00,1.1681300000000001,1.16821,1.16794,1.168,507,18,0
2025-10-17 15:10:00,1.16803,1.16811,1.1675200000000001,1.16782,603,18,0
2025-10-17 15:15:00,1.16783,1.16789,1.16731,1.16756,529,18,0
2025-10-17 15:20:00,1.16755,1.16776,1.16733,1.1675,443,18,0
2025-10-17 15:25:00,1.16749,1.1675,1.16703,1.16714,470,18,0
2025-10-17 15:30:00,1.16713,1.16723,1.16696,1.16715,497,18,0
2025-10-17 15:35:00,1.16716,1.16742,1.16666,1.1669,410,18,0
2025-10-17 15:40:00,1.16689,1.16708,1.16662,1.16707,261,18,0
2025-10-17 15:45:00,1.16707,1.16754,1.16696,1.16751,265,18,0
2025-10-17 15:50:00,1.1675,1.16758,1.16737,1.16748,311,18,0
2025-10-17 15:55:00,1.16748,1.1676,1.1673,1.16756,399,18,0
2025-10-17 16:00:00,1.16755,1.16756,1.16712,1.16734,381,18,0
2025-10-17 16:05:00,1.16731,1.16769,1.1672500000000001,1.16761,281,18,0
2025-10-17 16:10:00,1.16761,1.16767,1.16745,1.16763,131,18,0
2025-10-17 16:15:00,1.1676,1.16789,1.16755,1.16785,305,18,0
2025-10-17 16:20:00,1.16784,1.16804,1.1677,1.16788,295,18,0
2025-10-17 16:25:00,1.16787,1.16799,1.16739,1.16777,363,18,0
2025-10-17 16:30:00,1.16775,1.16797,1.1674,1.1674,465,18,0
2025-10-17 16:35:00,1.16741,1.16764,1.16717,1.1675200000000001,795,18,0
2025-10-17 16:40:00,1.16751,1.16756,1.1672,1.16749,540,18,0
2025-10-17 16:45:00,1.16748,1.16783,1.16747,1.16764,444,18,0
2025-10-17 16:50:00,1.16765,1.16772,1.16711,1.16727,339,18,0
2025-10-17 16:55:00,1.16728,1.16728,1.16681,1.16697,546,18,0
2025-10-17 17:00:00,1.16696,1.16722,1.16646,1.1666400000000001,573,18,0
2025-10-17 17:05:00,1.16663,1.16665,1.16576,1.16621,616,18,0
2025-10-17 17:10:00,1.16621,1.16639,1.16557,1.16567,458,18,0
2025-10-17 17:15:00,1.16567,1.16626,1.16564,1.1661,447,18,0
2025-10-17 17:20:00,1.1661,1.16655,1.16601,1.16644,401,18,0
2025-10-17 17:25:00,1.16642,1.16678,1.16637,1.16655,367,18,0
2025-10-17 17:30:00,1.16656,1.16672,1.16634,1.16646,375,18,0
2025-10-17 17:35:00,1.16645,1.16687,1.16632,1.16676,423,18,0
2025-10-17 17:40:00,1.16677,1.16706,1.1666,1.16677,388,18,0
